location,count,latitude,longitude
Iran,45,32.6475314,54.5643516
Israel,30,30.8124247,34.8594762
Myanmar,28,17.1750495,95.9999652
US,21,39.7837304,-100.445882
Ukraine,20,49.4871968,31.2718321
Hungary,13,47.1817585,19.5060937
Russia,13,64.6863136,97.7453061
Sudan,12,14.5844444,29.4917691
U.S.,9,39.7837304,-100.445882
Lebanon,7,33.8750629,35.843409
China,6,35.000074,104.999927
Gaza,5,-23.328398,32.8066057
BUDAPEST,5,47.4978789,19.0402383
Latvia,4,56.8406494,24.7537645
Yemen,4,16.3471243,47.8915271
Pakistan,4,30.3308401,71.247499
Norway,4,61.1529386,8.7876653
the United States,4,47.8291375,-122.5970742
Brussels,3,50.8467372,4.352493
America,3,39.7837304,-100.445882
Djibouti,3,11.8145966,42.8453061
Spain,3,39.3260685,-4.8379791
Washington,3,38.8950982,-77.0363849
Miami,2,25.7741566,-80.1935973
Turkey,2,39.294076,35.2316631
Saudi Arabia,2,25.6242618,42.3528328
UAE,2,24.0002488,53.9994829
India,2,22.3511148,78.6677428
Beirut,2,33.8892265,35.5025585
LONDON,2,51.5074456,-0.1277653
Islamabad,2,33.6938118,73.0651511
the United Arab Emirates,2,38.9449546,-77.0692577
North Darfur,2,16.0,26.0
Cairo,2,30.0443879,31.2357257
Iraq,2,33.0955793,44.1749775
Canada,2,61.0666922,-107.991707
Los Angeles,2,34.0536909,-118.242766
Us,1,39.7837304,-100.445882
Buchenwald,1,50.7892991,15.2705903
Germany,1,51.1638175,10.4478313
UK,1,19.7031822,-79.9174627
Serbia,1,44.0243229,21.0765743
Finland,1,63.2467777,25.9209164
Egypt,1,26.2540493,29.2675469
BRICS,1,41.9473421,1.5118973
MYANMAR,1,17.1750495,95.9999652
SNLD,1,-19.8701576,-50.6527933
Leyen,1,51.2657654,7.5173367
the United States',1,47.8291375,-122.5970742
Virginia,1,37.1232245,-78.4927721
